target1,target2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,cross.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
case, love,0,8,8,9,148.92567633299768,,,,,,,,,,,,,,148.91424016699966,148.92567633299768,149.90919883300012,149.9092102499999,150.15922424999735,150.19862062500033,150.30915299999833,150.34864529199695,150.49295637499745,150.49297158300033,150.51693129199703,150.51693129199703,150.51693129199703,150.51693129199703,163.49751345799814,0,0,,love,1,[12.996269541999936],[12.996273666998604],149.92222570800004,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,9,9,43,163.50951608299874,,,,,,,,,,,,,,163.49790362499698,163.50951608299874,164.49301291699885,164.49302454200006,164.74289149999822,164.7823872079971,164.89294837499983,164.932410874997,165.07660420799948,165.07661774999724,165.1013717499991,165.1013717499991,165.1013717499991,165.1013717499991,169.4557219999988,0,0,,,1,[4.370698749997246],[4.370702457999869],164.50424216699685,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
blow, care,0,10,10,1,169.4620209579989,,,,,,,,,,,,,,169.45611758299856,169.4620209579989,170.45008945799782,170.45010312500017,170.69979941699785,170.7430522499999,170.8500064999971,170.89310662499702,171.03357445799702,171.03359033299785,171.05932549999852,171.05932549999852,171.05932549999852,171.05932549999852,177.72231866699804,0,0,,care,1,[6.678790500001924],[6.6787942920018395],170.46267729199826,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,11,11,38,177.72897991699938,,,,,,,,,,,,,,177.722711041999,177.72897991699938,178.71704487500028,178.71705658299834,178.96659824999733,179.00994187499964,179.11683591699693,179.1599951249991,179.30045991699808,179.300478707999,179.32654374999765,179.32654374999765,179.32654374999765,179.32654374999765,181.34836637499757,0,0,,,1,[2.0379599170009897],[2.0379638749982405],178.74312333299895,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,12,12,29,181.35990287499953,,,,,,,,,,,,,,181.34875416700015,181.35990287499953,182.34347904199967,182.34349091699914,182.59347949999938,182.63282533299935,182.74344524999833,182.78302574999907,182.92692316699686,182.92693654199684,182.95002487499733,182.95002487499733,182.95002487499733,182.95002487499733,185.6064069999993,0,0,,,1,[2.6711341249974794],[2.671138540998072],182.35452137500033,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,13,13,37,185.61275620800006,,,,,,,,,,,,,,185.60679912499836,185.61275620800006,186.60048737499892,186.60050341699753,186.8507906249979,186.90057262499977,187.00048762499864,187.04344924999896,187.18431416699968,187.18433283299964,187.21018037499744,187.21018037499744,187.21018037499744,187.21018037499744,196.1559337079998,0,0,,,1,[8.961792916998093],[8.961796624997078],186.62666816699857,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,14,14,30,196.16238774999874,,,,,,,,,,,,,,196.15633362500012,196.16238774999874,197.15093870799683,197.15095287499935,197.4007599999968,197.44374183299806,197.55078491699896,197.5937677080001,197.73436079199746,197.73437629199907,197.76147658300033,197.76147658300033,197.76147658300033,197.76147658300033,205.27280462499766,0,0,love,,1,[7.528530249997857],[7.528534166998725],197.16290949999893,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,15,15,35,205.2795080420001,,,,,,,,,,,,,,205.27322795799773,205.2795080420001,206.2678339999984,206.2678490420003,206.51773150000008,206.56073574999755,206.66748845799884,206.71076037499734,206.86087320799925,206.86088645799828,206.87842395799817,206.87842395799817,206.87842395799817,206.87842395799817,212.49031912499777,0,0,,,1,[5.627598957998998],[5.627602790998935],206.27986320799755,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,16,16,45,212.49663183299708,,,,,,,,,,,,,,212.49071366699718,212.49663183299708,213.48457762499675,213.4845910829972,213.7344850829977,213.7776400829971,213.8841956670003,213.92733624999892,214.0686890830002,214.06870579199676,214.0945259580003,214.0945259580003,214.0945259580003,214.0945259580003,217.2502192920001,0,0,,,1,[3.172131500003161],[3.172135500000877],213.49599316699823,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
None,None,0,17,17,32,217.26094979199843,,,,,,,,,,,,,,217.25061595799707,217.26094979199843,218.24451116699856,218.24452287500026,218.4944247079984,218.53401766699972,218.64446466699883,218.68416754200007,218.82790091700008,218.82791458299835,218.851688499999,218.851688499999,218.851688499999,218.851688499999,219.5234552080001,0,0,,,1,[0.6871975829999428],[0.6872013749998587],218.25498324999717,swara,001,2023-11-28_11h16.16.833,experiment,2023.2.2,120.24499870392879,2023-11-28 11h17.51.470396 +0530,
